File created on 06/10/2010 at 11:41:52

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 1.9.8 (Build 004)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +02640.07374 -00682.57062 +00321.71 
020 000000.00 +02640.07320 -00682.57116 +00321.76 
020 000000.00 +02640.07272 -00682.57176 +00321.79 
020 000000.00 +02640.07224 -00682.57236 +00321.84 
020 000000.00 +02640.07176 -00682.57302 +00321.89 
020 000000.00 +02640.07128 -00682.57362 +00321.92 
020 000000.00 +02640.07080 -00682.57428 +00321.94 
020 000000.00 +02640.07032 -00682.57500 +00321.95 
020 000000.00 +02640.06990 -00682.57572 +00321.97 
020 000000.00 +02640.06942 -00682.57644 +00321.99 
020 000000.00 +02640.06900 -00682.57722 +00322.02 
020 000000.00 +02640.06858 -00682.57800 +00322.06 
020 000000.00 +02640.06816 -00682.57884 +00322.09 
020 000000.00 +02640.06780 -00682.57962 +00322.12 
020 000000.00 +02640.06738 -00682.58046 +00322.16 
020 000000.00 +02640.06696 -00682.58130 +00322.19 
020 000000.00 +02640.06660 -00682.58220 +00322.22 
020 000000.00 +02640.06618 -00682.58310 +00322.26 
020 000000.00 +02640.06582 -00682.58394 +00322.32 
020 000000.00 +02640.06540 -00682.58484 +00322.35 
020 000000.00 +02640.06504 -00682.58580 +00322.40 
020 000000.00 +02640.06462 -00682.58670 +00322.46 
020 000000.00 +02640.06426 -00682.58760 +00322.51 
020 000000.00 +02640.06384 -00682.58856 +00322.56 
020 000000.00 +02640.06348 -00682.58952 +00322.59 
020 000000.00 +02640.06306 -00682.59048 +00322.67 
020 000000.00 +02640.06264 -00682.59144 +00322.71 
020 000000.00 +02640.06222 -00682.59240 +00322.75 
020 000000.00 +02640.06180 -00682.59342 +00322.79 
020 000000.00 +02640.06138 -00682.59438 +00322.84 
020 000000.00 +02640.06096 -00682.59540 +00322.85 
020 000000.00 +02640.06054 -00682.59642 +00322.88 
020 000000.00 +02640.06012 -00682.59744 +00322.90 
020 000000.00 +02640.05964 -00682.59846 +00322.93 
020 000000.00 +02640.05922 -00682.59954 +00322.95 
020 000000.00 +02640.05874 -00682.60056 +00322.98 
020 000000.00 +02640.05832 -00682.60164 +00323.01 
020 000000.00 +02640.05784 -00682.60266 +00323.04 
020 000000.00 +02640.05742 -00682.60368 +00323.08 
020 000000.00 +02640.05700 -00682.60476 +00323.11 
020 000000.00 +02640.05652 -00682.60572 +00323.16 
020 000000.00 +02640.05610 -00682.60674 +00323.18 
020 000000.00 +02640.05568 -00682.60770 +00323.22 
020 000000.00 +02640.05526 -00682.60866 +00323.25 
020 000000.00 +02640.05484 -00682.60956 +00323.26 
020 000000.00 +02640.05442 -00682.61046 +00323.30 
020 000000.00 +02640.05406 -00682.61130 +00323.30 
020 000000.00 +02640.05364 -00682.61220 +00323.31 
020 000000.00 +02640.05328 -00682.61304 +00323.34 
020 000000.00 +02640.05292 -00682.61388 +00323.36 
020 000000.00 +02640.05250 -00682.61466 +00323.40 
020 000000.00 +02640.05214 -00682.61550 +00323.43 
020 000000.00 +02640.05172 -00682.61628 +00323.48 
020 000000.00 +02640.05130 -00682.61706 +00323.50 
020 000000.00 +02640.05088 -00682.61784 +00323.57 
020 000000.00 +02640.05052 -00682.61862 +00323.61 
020 000000.00 +02640.05010 -00682.61940 +00323.68 
020 000000.00 +02640.04968 -00682.62012 +00323.77 
020 000000.00 +02640.04926 -00682.62090 +00323.84 
020 000000.00 +02640.04878 -00682.62162 +00323.94 
020 000000.00 +02640.04836 -00682.62240 +00323.95 
020 000000.00 +02640.04788 -00682.62318 +00323.95 
020 000000.00 +02640.04740 -00682.62390 +00323.93 
020 000000.00 +02640.04692 -00682.62462 +00323.91 
020 000000.00 +02640.04644 -00682.62528 +00324.22 
020 000000.00 +02640.04596 -00682.62588 +00324.53 
020 000000.00 +02640.04542 -00682.62648 +00324.82 
020 000000.00 +02640.04494 -00682.62708 +00325.06 
020 000000.00 +02640.04440 -00682.62768 +00325.26 
020 000000.00 +02640.04386 -00682.62828 +00325.44 
020 000000.00 +02640.04326 -00682.62888 +00325.63 
020 000000.00 +02640.04272 -00682.62942 +00325.80 
020 000000.00 +02640.04212 -00682.62996 +00325.98 
020 000000.00 +02640.04152 -00682.63050 +00326.15 
020 000000.00 +02640.04092 -00682.63104 +00326.30 
020 000000.00 +02640.04026 -00682.63152 +00326.43 
020 000000.00 +02640.03966 -00682.63200 +00326.56 
020 000000.00 +02640.03900 -00682.63248 +00326.67 
020 000000.00 +02640.03834 -00682.63290 +00326.76 
020 000000.00 +02640.03768 -00682.63332 +00326.85 
020 000000.00 +02640.03696 -00682.63374 +00326.95 
020 000000.00 +02640.03630 -00682.63410 +00327.03 
020 000000.00 +02640.03558 -00682.63446 +00327.10 
020 000000.00 +02640.03492 -00682.63476 +00327.20 
020 000000.00 +02640.03420 -00682.63506 +00327.28 
020 000000.00 +02640.03348 -00682.63536 +00327.37 
020 000000.00 +02640.03276 -00682.63566 +00327.44 
020 000000.00 +02640.03198 -00682.63590 +00327.53 
020 000000.00 +02640.03126 -00682.63614 +00327.60 
020 000000.00 +02640.03054 -00682.63632 +00327.67 
020 000000.00 +02640.02982 -00682.63650 +00327.75 
020 000000.00 +02640.02904 -00682.63668 +00327.84 
020 000000.00 +02640.02832 -00682.63680 +00327.88 
020 000000.00 +02640.02754 -00682.63692 +00327.94 
020 000000.00 +02640.02676 -00682.63704 +00327.97 
020 000000.00 +02640.02598 -00682.63710 +00327.98 
020 000000.00 +02640.02526 -00682.63710 +00327.97 
020 000000.00 +02640.02448 -00682.63710 +00328.04 
020 000000.00 +02640.02370 -00682.63710 +00328.09 
020 000000.00 +02640.02292 -00682.63704 +00328.15 
020 000000.00 +02640.02214 -00682.63692 +00328.16 
020 000000.00 +02640.02136 -00682.63686 +00328.15 
020 000000.00 +02640.02058 -00682.63668 +00328.13 
020 000000.00 +02640.01980 -00682.63656 +00328.11 
020 000000.00 +02640.01902 -00682.63638 +00328.08 
020 000000.00 +02640.01818 -00682.63620 +00328.06 
020 000000.00 +02640.01740 -00682.63596 +00328.06 
020 000000.00 +02640.01662 -00682.63566 +00328.04 
020 000000.00 +02640.01584 -00682.63536 +00328.03 
020 000000.00 +02640.01506 -00682.63506 +00328.03 
020 000000.00 +02640.01434 -00682.63470 +00328.01 
020 000000.00 +02640.01356 -00682.63434 +00327.99 
020 000000.00 +02640.01278 -00682.63392 +00327.97 
020 000000.00 +02640.01200 -00682.63350 +00327.94 
020 000000.00 +02640.01128 -00682.63302 +00327.95 
020 000000.00 +02640.01050 -00682.63254 +00327.95 
020 000000.00 +02640.00978 -00682.63200 +00327.93 
020 000000.00 +02640.00900 -00682.63146 +00327.92 
020 000000.00 +02640.00822 -00682.63092 +00327.92 
020 000000.00 +02640.00750 -00682.63038 +00327.90 
020 000000.00 +02640.00672 -00682.62972 +00327.90 
020 000000.00 +02640.00600 -00682.62912 +00327.89 
020 000000.00 +02640.00522 -00682.62852 +00327.88 
020 000000.00 +02640.00450 -00682.62786 +00327.86 
020 000000.00 +02640.00372 -00682.62720 +00327.86 
020 000000.00 +02640.00294 -00682.62654 +00327.86 
020 000000.00 +02640.00222 -00682.62588 +00327.88 
020 000000.00 +02640.00144 -00682.62522 +00327.90 
020 000000.00 +02640.00066 -00682.62456 +00327.93 
020 000000.00 +02639.99988 -00682.62384 +00327.95 
020 000000.00 +02639.99910 -00682.62312 +00327.97 
020 000000.00 +02639.99832 -00682.62240 +00327.99 
020 000000.00 +02639.99754 -00682.62168 +00328.03 
020 000000.00 +02639.99670 -00682.62096 +00328.06 
020 000000.00 +02639.99592 -00682.62024 +00328.08 
020 000000.00 +02639.99508 -00682.61946 +00328.11 
020 000000.00 +02639.99424 -00682.61874 +00328.13 
020 000000.00 +02639.99340 -00682.61796 +00328.16 
020 000000.00 +02639.99262 -00682.61718 +00328.18 
020 000000.00 +02639.99178 -00682.61640 +00328.17 
