File created on 20/04/2007 at 10:23:46

[header]
satellites
time
latitude
longitude
YAW__
YAW_

[channel units]



[comments]
Log Rate (Hz) : 1
Software Version : 1.7.1 (Build 045)
Created from KML File

[column names]
sats time lat long YAW__ YAW_ 
[data]
020 000000.00 +03124.70268 +00060.65910 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70196 +00060.65862 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70118 +00060.65814 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70040 +00060.65772 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69968 +00060.65724 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69890 +00060.65676 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69812 +00060.65634 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69740 +00060.65586 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69662 +00060.65544 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69590 +00060.65502 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69512 +00060.65454 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69434 +00060.65412 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69362 +00060.65364 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69284 +00060.65322 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69206 +00060.65280 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69128 +00060.65238 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.69050 +00060.65190 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68972 +00060.65148 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68900 +00060.65106 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68822 +00060.65064 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68744 +00060.65022 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68666 +00060.64980 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68588 +00060.64938 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68510 +00060.64896 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68432 +00060.64854 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68354 +00060.64818 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68276 +00060.64776 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68192 +00060.64734 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68114 +00060.64692 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.68036 +00060.64650 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67952 +00060.64608 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67874 +00060.64566 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67796 +00060.64530 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67712 +00060.64488 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67634 +00060.64446 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67556 +00060.64410 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67478 +00060.64368 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67394 +00060.64326 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67316 +00060.64290 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67238 +00060.64248 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67160 +00060.64212 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.67076 +00060.64170 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66998 +00060.64134 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66920 +00060.64092 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66836 +00060.64056 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66758 +00060.64020 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66674 +00060.63984 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66596 +00060.63942 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66518 +00060.63906 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66434 +00060.63870 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66356 +00060.63834 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66272 +00060.63798 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66194 +00060.63762 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66110 +00060.63726 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.66032 +00060.63690 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65948 +00060.63654 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65870 +00060.63618 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65786 +00060.63582 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65708 +00060.63546 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65624 +00060.63510 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65540 +00060.63474 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65462 +00060.63444 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65378 +00060.63408 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65294 +00060.63378 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65210 +00060.63342 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65126 +00060.63306 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.65048 +00060.63276 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64964 +00060.63240 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64880 +00060.63210 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64796 +00060.63180 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64712 +00060.63144 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64628 +00060.63114 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64544 +00060.63078 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64460 +00060.63048 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64376 +00060.63018 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64292 +00060.62982 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64208 +00060.62952 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64124 +00060.62922 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.64040 +00060.62886 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63956 +00060.62856 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63872 +00060.62826 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63788 +00060.62790 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63704 +00060.62760 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63620 +00060.62730 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63530 +00060.62700 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63446 +00060.62670 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63362 +00060.62640 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63278 +00060.62610 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63194 +00060.62580 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63104 +00060.62550 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.63020 +00060.62520 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.62936 +00060.62496 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.62846 +00060.62466 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.62762 +00060.62436 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.62672 +00060.62412 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.62588 +00060.62388 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.62504 +00060.62358 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.62414 +00060.62328 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.62330 +00060.62304 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.62240 +00060.62280 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.62156 +00060.62250 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.62072 +00060.62226 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61982 +00060.62202 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61892 +00060.62172 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61808 +00060.62148 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61718 +00060.62124 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61634 +00060.62100 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61544 +00060.62070 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61460 +00060.62046 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61370 +00060.62022 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61286 +00060.61998 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61196 +00060.61974 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61106 +00060.61950 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.61016 +00060.61920 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.60932 +00060.61896 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.60842 +00060.61872 +0.00000E+00 +0.00000E+00 
